12:00:36:940307-info: Run: REM
12:00:36:947314-info: Run: NEWTBL,TEST
12:00:36:952314-info: Run: DELAYMS,1000
12:00:37:955471-info: Initiate a 1000 mS, delay
12:00:37:964435-info: Run: DELAYMS,1000
12:00:38:957101-info: Initiate a 1000 mS, delay
12:00:38:965055-info: Run: DELAYMS,1000
12:00:39:972138-info: Initiate a 1000 mS, delay
12:00:39:982232-info: Run: DELAYMS,1000
12:00:40:986327-info: Initiate a 1000 mS, delay
12:00:40:997441-info: Run: DELAYMS,1000
12:00:41:998996-info: Initiate a 1000 mS, delay
12:00:42:006246-info: Run: DELAYMS,1000
12:00:43:004845-info: Initiate a 1000 mS, delay
12:00:43:013267-info: Run: DELAYMS,1000
12:00:44:018344-info: Initiate a 1000 mS, delay
12:00:44:027638-info: Run: DELAYMS,1000
12:00:45:032051-info: Initiate a 1000 mS, delay
12:00:45:043262-info: Run: DELAYMS,1000
12:00:46:033465-info: Initiate a 1000 mS, delay
12:00:46:039576-info: Run: DELAYMS,1000
12:00:47:049575-info: Initiate a 1000 mS, delay
12:00:47:058964-info: Run: DELAYMS,1000
12:00:48:058844-info: Initiate a 1000 mS, delay
12:00:48:069618-info: Run: DELAYMS,1000
12:00:49:070236-info: Initiate a 1000 mS, delay
12:00:49:077380-info: Run: DELAYMS,1000
12:00:50:082869-info: Initiate a 1000 mS, delay
12:00:50:092179-info: Run: DELAYMS,1000
12:00:51:098089-info: Initiate a 1000 mS, delay
12:00:51:105352-info: Run: DELAYMS,1000
12:00:52:106576-info: Initiate a 1000 mS, delay
