(1 13:21:55:261808 info Run: REM)
(2 13:21:55:266866 info Run: NEWTBL,TEST)
(3 13:21:55:268867 info Run: DELAYMS,1000)
(4 13:21:56:275336 info Initiate a 1000 mS, delay)
(5 13:21:56:278458 info Run: DELAYMS,1000)
(6 13:21:57:288574 info Initiate a 1000 mS, delay)
(7 13:21:57:297772 info Run: DELAYMS,1000)
(8 13:21:58:301394 info Initiate a 1000 mS, delay)
(9 13:21:58:305402 info Run: DELAYMS,1000)
(10 13:21:59:303104 info Initiate a 1000 mS, delay)
(11 13:21:59:306096 info Run: DELAYMS,1000)
(12 13:22:00:317970 info Initiate a 1000 mS, delay)
(13 13:22:00:322948 info Run: DELAYMS,1000)
(14 13:22:01:331584 info Initiate a 1000 mS, delay)
(15 13:22:01:334595 info Run: DELAYMS,1000)
(16 13:22:02:342102 info Initiate a 1000 mS, delay)
(17 13:22:02:346117 info Run: DELAYMS,1000)
(18 13:22:03:356103 info Initiate a 1000 mS, delay)
(19 13:22:03:361103 info Run: DELAYMS,1000)
(20 13:22:04:367472 info Initiate a 1000 mS, delay)
(21 13:22:04:371472 info Run: DELAYMS,1000)
(22 13:22:05:371787 info Initiate a 1000 mS, delay)
(23 13:22:05:376788 info Run: DELAYMS,1000)
(24 13:22:06:375962 info Initiate a 1000 mS, delay)
(25 13:22:06:378962 info Run: DELAYMS,1000)
(26 13:22:07:380068 info Initiate a 1000 mS, delay)
(27 13:22:07:385616 info Run: DELAYMS,1000)
(28 13:22:08:386538 info Initiate a 1000 mS, delay)
(29 13:22:08:389536 info Run: DELAYMS,1000)
(30 13:22:09:391551 info Initiate a 1000 mS, delay)
(31 13:22:09:395626 info Run: DELAYMS,1000)
(32 13:22:10:393014 info Initiate a 1000 mS, delay)
(33 13:22:11:394508 info Done!)
