(14:43:44:369479 info Run: REM)
(14:43:44:380419 info Run: NEWTBL,TEST)
(14:43:44:386952 info Run: DELAYMS,1000)
(14:43:45:380801 info Initiate a 1000 mS, delay)
(14:43:45:392251 info Run: DELAYMS,1000)
(14:43:46:386095 info Initiate a 1000 mS, delay)
(14:43:46:397423 info Run: DELAYMS,1000)
(14:43:47:401189 info Initiate a 1000 mS, delay)
(14:43:47:409487 info Run: DELAYMS,1000)
(14:43:48:404747 info Initiate a 1000 mS, delay)
(14:43:48:414591 info Run: DELAYMS,1000)
(14:43:49:406774 info Initiate a 1000 mS, delay)
(14:43:49:418245 info Run: DELAYMS,1000)
(14:43:50:422660 info Initiate a 1000 mS, delay)
(14:43:50:431573 info Run: DELAYMS,1000)
(14:43:51:432583 info Initiate a 1000 mS, delay)
(14:43:51:444859 info Run: DELAYMS,1000)
(14:43:52:444317 info Initiate a 1000 mS, delay)
(14:43:52:455026 info Run: DELAYMS,1000)
(14:43:53:453768 info Initiate a 1000 mS, delay)
(14:43:53:466319 info Run: DELAYMS,1000)
(14:43:54:458202 info Initiate a 1000 mS, delay)
(14:43:54:466598 info Run: DELAYMS,1000)
(14:43:55:464441 info Initiate a 1000 mS, delay)
(14:43:55:472222 info Run: DELAYMS,1000)
(14:43:56:481560 info Initiate a 1000 mS, delay)
(14:43:56:493316 info Run: DELAYMS,1000)
(14:43:57:483035 info Initiate a 1000 mS, delay)
(14:43:57:494355 info Run: DELAYMS,1000)
(14:43:58:495378 info Initiate a 1000 mS, delay)
(14:43:58:500482 info Run: DELAYMS,1000)
(14:43:59:504944 info Initiate a 1000 mS, delay)
