(1, datetime.datetime(2024, 8, 29, 15, 29, 8, 326217), 'info', 'Run: REM')
(2, datetime.datetime(2024, 8, 29, 15, 29, 8, 331551), 'info', 'Run: NEWTBL,TEST')
(3, datetime.datetime(2024, 8, 29, 15, 29, 8, 335539), 'info', 'Run: DELAYMS,1000')
(4, datetime.datetime(2024, 8, 29, 15, 29, 9, 348132), 'info', 'Initiate a 1000 mS, delay')
(5, datetime.datetime(2024, 8, 29, 15, 29, 9, 355134), 'info', 'Run: DELAYMS,1000')
(6, datetime.datetime(2024, 8, 29, 15, 29, 10, 350148), 'info', 'Initiate a 1000 mS, delay')
(7, datetime.datetime(2024, 8, 29, 15, 29, 10, 361143), 'info', 'Run: DELAYMS,1000')
(8, datetime.datetime(2024, 8, 29, 15, 29, 11, 360136), 'info', 'Initiate a 1000 mS, delay')
(9, datetime.datetime(2024, 8, 29, 15, 29, 11, 370137), 'info', 'Run: DELAYMS,1000')
(10, datetime.datetime(2024, 8, 29, 15, 29, 12, 375714), 'info', 'Initiate a 1000 mS, delay')
(11, datetime.datetime(2024, 8, 29, 15, 29, 12, 386927), 'info', 'Run: DELAYMS,1000')
(12, datetime.datetime(2024, 8, 29, 15, 29, 13, 386543), 'info', 'Initiate a 1000 mS, delay')
(13, datetime.datetime(2024, 8, 29, 15, 29, 13, 396815), 'info', 'Run: DELAYMS,1000')
(14, datetime.datetime(2024, 8, 29, 15, 29, 14, 399354), 'info', 'Initiate a 1000 mS, delay')
(15, datetime.datetime(2024, 8, 29, 15, 29, 14, 410298), 'info', 'Run: DELAYMS,1000')
(16, datetime.datetime(2024, 8, 29, 15, 29, 15, 405246), 'info', 'Initiate a 1000 mS, delay')
(17, datetime.datetime(2024, 8, 29, 15, 29, 15, 409274), 'info', 'Run: DELAYMS,1000')
(18, datetime.datetime(2024, 8, 29, 15, 29, 16, 415216), 'info', 'Initiate a 1000 mS, delay')
(19, datetime.datetime(2024, 8, 29, 15, 29, 16, 425400), 'info', 'Run: DELAYMS,1000')
(20, datetime.datetime(2024, 8, 29, 15, 29, 17, 427881), 'info', 'Initiate a 1000 mS, delay')
(21, datetime.datetime(2024, 8, 29, 15, 29, 17, 433900), 'info', 'Run: DELAYMS,1000')
(22, datetime.datetime(2024, 8, 29, 15, 29, 18, 442025), 'info', 'Initiate a 1000 mS, delay')
(23, datetime.datetime(2024, 8, 29, 15, 29, 18, 449989), 'info', 'Run: DELAYMS,1000')
(24, datetime.datetime(2024, 8, 29, 15, 29, 19, 446520), 'info', 'Initiate a 1000 mS, delay')
(25, datetime.datetime(2024, 8, 29, 15, 29, 19, 455802), 'info', 'Run: DELAYMS,1000')
(26, datetime.datetime(2024, 8, 29, 15, 29, 20, 455312), 'info', 'Initiate a 1000 mS, delay')
(27, datetime.datetime(2024, 8, 29, 15, 29, 20, 466297), 'info', 'Run: DELAYMS,1000')
(28, datetime.datetime(2024, 8, 29, 15, 29, 21, 464767), 'info', 'Initiate a 1000 mS, delay')
